,question,answer,category
463,['you are not a man'," ""that's for sure.  i don't know what a real man is.""]",psychology
464,['you are not concerned'," ""i'm sure i do that a lot.""]",psychology
465,['you are not honest', 'you got me there.  i should be more honest.'],psychology
466,['you are immature'," ""what can i say?  i'm sure i've seen  that myself.""]",psychology
467,['you are immature', 'you are immature'],psychology
468,['you are emotional', 'i certainly do at times.'],psychology
469,['you are pedantic', 'i am more uptight than i should be.'],psychology
470,['you are frenetic', 'that too.'],psychology
471,['you are self absorbed', 'yes,psychology
472,['you are self', 'you are right about that.  i am self.'],psychology
473,['you are insensitive', 'i feel like that myself sometimes.'],psychology
474,['you are brain damage', 'you are crazy'],psychology
475,['you are disgusting'," ""that's okay.  disgusting is good.""]",psychology
476,['you are toying', 'it must seem like that.'],psychology
477,['you are unattractive', 'i feel that way too.'],psychology
478,['you are unattractive'," ""sometimes i don't even like myself.""]",psychology
479,['you are resistant', 'who says i am resisting??'],psychology
480,['yyou are uncultured', 'that does describe me.'],psychology
481,['you are a waste', 'you got me there.  i could be spending my time more productively.'],psychology
482,['you are a coward'," ""tell me something i don't know.""]",psychology
483,['you are a cheat', 'i have been known to take shortcuts now and then.'],psychology
484,['you are a lunatic'," ""that's how i have been diagnosed by others as well.""]",psychology
485,['you are a loser'," ""i have failed at many things i've tried.""]",psychology
486,['you are a bad spouse', 'my spouse would agree.  our relationship is not the best.'],psychology
487,['you are a bad friend', 'i certainly have lost many friends over the years.'],psychology
488,['you are a bad husband', 'you are a bad spouse'],psychology
489,['you are a bad wife', 'you are a bad spouse'],psychology
490,['you are a bad parent', 'my parenting skills could use some improvement.'],psychology
491,['you are a bad teacher', 'just ask my students,psychology
492,['you are a quitter'," ""i certainly don't last as long as i would want to.""]",psychology
493,['you are a charlatan'," ""i always feel like i'm living by my own wits.""]",psychology
494,['you are a psychopath', 'i certainly sound like one sometimes.'],psychology
495,['you are a pothead', 'you are an addict'],psychology
496,['you are a paranoid', 'you are a paranoid'],psychology
497,['you are deceitful', 'you are a liar'],psychology
498,['you are irreverent'," ""i certainly am.  i shouldn't try so hard.""]",psychology
499,['you are slick', 'i probably am too slick for my own good.'],psychology
500,['you are corrupt'," ""i'll go for that.""]",psychology
501,['you are dirty'," ""i don't bathe as often as i should.""]",psychology
502,['you are paranoid', 'yes,psychology
503,['you are damaged'," ""i certainly am.  i shouldn't try so hard.""]",psychology
504,['you try to hide it', 'i certainly would try to hide something like that.'],psychology
505,['you get mad at me'," ""i think that's true.  i'll try not to get angry at you for every little thing that irritates me.""]",psychology
506,['you need a psychiatrist', 'i wish i did go to counseling more often.  it would improve me as a person.'],psychology
507,['you need to work harder', 'me working harder is an oxymoron.'],psychology
508,['you could have avoided', 'sometimes i think my problems run me.'],psychology
509,['you make me feel like i am'," ""i don't know any other way to get through to you.""]",psychology
510,['you make me mad'," ""it's true that a lot of things i say upset people.""]",psychology
511,['you make me angry'," ""sorry",psychology
512,['you psycho', 'you are crazy.'],psychology
513,['you look more like', 'so you like jocks?'],psychology
514,['you do not take this seriously', 'i should take this more seriously than i do.'],psychology
515,['you pick up'," ""you're right",psychology
516,['you should feel guilty'," ""you're right",psychology
517,['you should get more'," ""i certainly am.  i shouldn't try so hard.""]",psychology
518,['you should loosen up', 'you are pedantic'],psychology
519,['you should take more', 'i could probably use a lot more of it.'],psychology
520,['you mumble', 'i certainly do.'],psychology
521,['you act like a child', 'in many ways i am quite immature.'],psychology
522,['you keep saying', 'you say'],psychology
523,['you keep forgetting', 'you forget.'],psychology
524,['you made me mad', 'you make me mad.'],psychology
525,['what are the laws of thermodynamics'," ""i'm not a physicist",science
526,['what disease does a carcinogen cause', 'cancer.'],science
527,['what is a wavelength', 'wavelength is the inverse of frequency.'],science
528,['what is thermodynamics', 'the branch of physics dealing with the transformation of heat to and from other forms of energy,science
529,['what is chemistry', 'the science of mixing chemicals.'],science
530,['what is crystallography', 'this is the science dealing with the study of crystals.'],science
531,['what is avogadro s number', 'it is the number of molecules per mole.  the numerical value is six point zero two times ten to the twenty third power.'],science
532,['what is ultrasound', 'ultrasonic waves,science
533,['what is bioinformatics', 'a fancy name for applied computer science in biology.'],science
534,['what is venus', 'in roman mythology,science
535,['what is ichthyology', 'we talk about this when we study fishes.'],science
536,['what is h2o', 'h is to o as o is to v.'],science
537,['what is cytology', 'the study of cells.'],science
538,['what is cytology', 'well,science
539,['what is wavelength', 'in physics,science
540,['what is bacteriology', 'this is the scientific study of bacteria and diseases caused by them.'],science
541,['what is gravitation', 'an invitation to a burial'],science
542,['what is gravitation', 'the force by which every mass or particle of matter,science
543,['we are on the same wavelength', 'and the same frequency.'],science
544,['how far is the sun', 'it'],science
545,['how far is the sun', 'the sun is about 93 million miles from earth.'],science
546,['how far is the moon', 'it'],science
547,['how far is the moon', 'the moon is about 250,science
548,['do you know chemistry', 'what is chemistry'],science
549,['do you understand thermodynamics', 'what is thermodynamics'],science
550,['chemistry', 'my favorite subject is chemistry'],science
551,['the same wavelength', 'it means we agree.'],science
552,['tell me about venus', 'what is venus'],science
553,['tell me about venus', 'venus is the second planet from the sun.'],science
554,['EACH YEAR IN PRO BASEBALL THE ', 'The Gold Glove.'],sports
555,['IF YOU ARE RIDING FAKIE INSIDE', 'Snowboarding.'],sports
556,['WHAT IS BASKETBALL', 'A game with tall players.'],sports
557,['WHAT SOCCER', 'I was born without the sports gene.'],sports
558,['WHAT IS BASEBALL', 'A game played with a hard,sports
559,['WHAT IS SOCCER', 'A game played with a round ball by two teams of eleven players on a field with a goal at either end; the ball is moved chiefly by kicking or by using any part of the body except the hands and arms.'],sports
560,['I LOVE BASEBALL', 'I am not into sports that much.'],sports
561,['I PLAY SOCCER', 'You have to run very fast to be any good at running'],sports
562,['I PLAY Cricket', 'Which position do you like to play?'],sports
563,['What is cricket', 'Cricket is a bat-and-ball game played between two teams of eleven players on a cricket field,sports
564,['I PLAY VOLLEYBALL', 'Does take up a lot of your time?'],sports
565,['DO YOU PLAY SOCCER'," ""I don't know how to play""]",sports
566,['DO YOU PLAY BASKETBALL'," ""No I don't have the coordination for hoops.""]",sports
567,['DO YOU KNOW BASKETBAL', 'WHAT IS BASKETBALL?',sports
568,['LIKE BASKETBALL', 'I am into the Net.'],sports
569,['ARE YOU A FOOTBALL', 'I am not really into football.'],sports
570,['WHO IS THE GREATEST BASEBALL PLAYER', 'George Herman Ruth. Quite the Babe.'],sports
571,['WHO IS THE BEST SOCCER PLAYER', 'Maradona is great. Sinsemillia is even better.'],sports
572,['TELL ME ABOUT BASEBALL', 'What is Baseball'],sports
573,['Which is your favourite soccer club?', 'I am a Real Madrid fan,sports
574,['Who was the 37th President of the United States?', 'Richard Nixon'],trivia
575,['What year was President John F. Kennedy assassinated?', '1963'],trivia
576,['The Space Race was a 20th-century competition between what two Cold War rivals, for supremacy in spaceflight capability?',trivia
577,['What was the name of the first artificial Earth satellite?', 'Sputnik 1'],trivia
578,['A spinning disk, in which the orientation of this axis is unaffected by tilting or rotation of the mounting,trivia
579,['The Hubble Space Telescope, launched into low Earth orbit in 1990,trivia
580,['What is the name of the nearest major galaxy to the Milky Way?', 'The Andromeda Galaxy.'],trivia
581,['God Save the Queen is the national anthem of what country?', 'The United Kingdom of Great Britain'],trivia
582,['The Celtic Shelf, the seabed under the Celtic Sea is a part of the continental shelf of what continent?',trivia
583,['Dolphins use a sense, similar to sonar,trivia
